IMTX_NUM,TEAM_ID
300-4344428-2_1,li019519.in
300-4344725-1_1,li019513.in
300-4344825-9_1,li019510.in
300-4344855-6_1,li019502.in
300-4344894-5_1,li019502.in
300-4346928-9_1,li019500.in
300-4346931-3_1,li019500.in
300-4346990-9_1,li019573.in
300-4346993-3_1,li019523.in
300-4347000-6_1,li019503.in
300-4347006-3_1,li019523.in
300-4347193-9_1,li019537.in
300-4348498-1_1,li019543.in
300-4348512-9_1,li019515.in
300-4348866-9_1,li019553.in
300-4348887-5_1,li019543.in
300-4349379-2_1,li019513.in
300-4349468-3_1,li019507.in
300-4349479-0_1,li019519.in
300-4349972-4_1,li019513.in
300-4350322-8_1,li019523.in
300-4350484-6_1,li019513.in
300-4350493-7_1,li019523.in
300-4350504-1_1,li019513.in
300-4350505-8_1,li019507.in
300-4350538-9_1,li019523.in
300-4350562-9_1,li019513.in
300-4350581-9_1,li019513.in
300-4350589-2_1,li019577.in
300-4350596-7_1,li019531.in
300-4352782-1_1,li019503.in
300-4352999-1_1,li019515.in
300-4353360-5_1,li019502.in
300-4353403-3_1,li019512.in
300-4354833-0_1,li019498.in
300-4355740-6_1,li019523.in
300-4355801-6_1,li019519.in
300-4355808-1_1,li019537.in
300-4355849-5_1,li019543.in
300-4355890-9_1,li019514.in
300-4355913-9_1,li019526.in
300-4355924-6_1,li019522.in
300-4355958-4_1,li019502.in
300-4355980-8_1,li019506.in
300-4356003-8_1,li019498.in
300-4356285-1_1,li019530.in
300-4356322-2_1,li019514.in
300-4356353-7_1,li019512.in
300-4356431-1_1,li019522.in
300-4356467-5_1,li019522.in
300-4356521-9_1,li019532.in
300-4356531-8_1,li019506.in
300-4356562-3_1,li019522.in
300-4356853-6_1,li019503.in
300-4357884-0_1,li019538.in
300-4357923-6_1,li019498.in
300-4357941-8_1,li019522.in
300-4357965-7_1,li019506.in
300-4357984-8_1,li019498.in
300-4357998-8_1,li019500.in
300-4358145-5_1,li019512.in
300-4358192-7_1,li019518.in
300-4358240-4_1,li019502.in
300-4358278-4_1,li019498.in
300-4358362-6_1,li019530.in
300-4358390-7_1,li019512.in
300-4358412-9_1,li019522.in
300-4358631-4_1,li019496.in
300-4359094-4_1,li019502.in
300-4359145-4_1,li019502.in
300-4359185-0_1,li019502.in
300-4359199-1_1,li019510.in
300-4359344-3_1,li019502.in
300-4359435-9_1,li019502.in
300-4359483-9_1,li019522.in
300-4359511-7_1,li019509.in
300-4359564-6_1,li019502.in
300-4359640-4_1,li019502.in
300-4359659-4_1,li019502.in
300-4360033-9_1,li019502.in
300-4360043-8_1,li019520.in
300-4360244-2_1,li019551.in
300-4360256-6_1,li019517.in
300-4360268-1_1,li019523.in
300-4361154-2_1,li019502.in
300-4361302-7_1,li019502.in
300-4361375-3_1,li019502.in
300-4361422-3_1,li019502.in
300-4361447-0_1,li019502.in
300-4361478-5_1,li019502.in
300-4361511-3_1,li019502.in
300-4361571-7_1,li019502.in
300-4361632-7_1,li019508.in
300-4361654-1_1,li019530.in
300-4361677-2_1,li019522.in
300-4361746-5_1,li019502.in
300-4361780-4_1,li019512.in
300-4361830-7_1,li019512.in
300-4361846-3_1,li019512.in
300-4361892-7_1,li019538.in
300-4362088-1_1,li019498.in
300-4362614-4_1,li019542.in
300-4362728-2_1,li019528.in
300-4362837-1_1,li019520.in
300-4363628-3_1,li019551.in
300-4363722-4_1,li019531.in
300-4363727-3_1,li019531.in
300-4364617-5_1,li019498.in
300-4364801-5_1,li019502.in
300-4365175-3_1,li019498.in
300-4366314-7_1,li019498.in
300-4366988-8_1,li019498.in
300-4367000-1_1,li019500.in
300-4367036-5_1,li019500.in
